,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
208,0.032496915,2.0,37.0,90.9,51.8,32.0,2.45,58.0,77.0,6.0,28.0,15.0,108.0,54.0,144.0,100.0,17.0,80.0,23.8,112.0
209,0.052730697,0.0,31.6,95.8,57.1,42.9,4.05,49.0,51.0,25.0,25.0,27.0,3.0,16.0,6.0,0.0,0.0,0.0,31.8,51.0
210,0.148984199,1.0,33.4,94.5,55.6,35.1,2.43,46.0,83.0,46.0,19.0,0.0,90.0,71.0,136.0,30.0,42.0,105.0,23.5,36.0
211,0.096871847,0.0,36.6,93.5,57.6,36.9,2.43,20.0,50.0,21.0,19.0,31.0,458.0,76.0,236.0,78.0,182.0,336.0,21.3,16.0
212,0.035182387,0.0,36.1,100.1,64.7,47.4,3.42,35.0,45.0,13.0,24.0,175.0,752.0,476.0,182.0,115.0,133.0,281.0,36.8,161.0
213,0.054756195,1.0,43.3,94.6,74.1,39.9,2.84,25.0,27.0,6.0,7.0,0.0,92.0,332.0,422.0,39.0,197.0,156.0,30.7,0.0
214,0.08965517199999999,2.0,35.3,92.2,60.4,40.2,2.9,53.0,68.0,34.0,39.0,0.0,29.0,0.0,521.0,233.0,63.0,220.0,35.4,26.0
215,0.090081301,0.0,41.2,97.4,57.0,28.4,2.41,35.0,51.0,11.0,36.0,45.0,351.0,245.0,319.0,66.0,99.0,274.0,23.3,42.0
216,-0.111265905,3.0,30.7,86.7,38.5,24.7,2.46,14.0,23.0,18.0,30.0,58.0,77.0,78.0,235.0,20.0,13.0,163.0,33.6,29.0
217,0.101986164,1.0,37.9,77.0,53.1,33.4,3.01,19.0,24.0,0.0,17.0,18.0,0.0,0.0,58.0,0.0,11.0,0.0,49.6,92.0
218,0.110638298,1.0,33.5,94.5,40.6,29.8,2.2,38.0,66.0,0.0,50.0,0.0,75.0,80.0,216.0,28.0,31.0,81.0,27.6,6.0
219,0.046193328,1.0,40.0,97.1,67.5,47.5,2.95,9.0,38.0,5.0,15.0,23.0,251.0,324.0,263.0,35.0,282.0,158.0,33.1,33.0
220,0.025883838,0.0,35.8,96.4,64.6,44.1,2.75,29.0,61.0,11.0,18.0,27.0,197.0,179.0,92.0,7.0,27.0,85.0,19.3,45.0
221,0.1,0.0,34.5,93.6,57.9,40.1,2.86,23.0,48.0,10.0,25.0,0.0,33.0,133.0,230.0,18.0,20.0,60.0,27.3,0.0
222,0.09421403,0.0,36.3,94.3,66.1,46.2,3.1,49.0,41.0,0.0,5.0,4.0,40.0,32.0,171.0,96.0,26.0,28.0,36.2,69.0
223,0.026757188,0.0,35.8,90.1,51.0,34.7,2.55,30.0,44.0,46.0,28.0,3.0,82.0,44.0,239.0,188.0,65.0,43.0,32.9,104.0
224,0.019157088,0.0,36.4,98.1,62.2,52.7,3.08,0.0,43.0,0.0,30.0,48.0,357.0,255.0,248.0,28.0,75.0,163.0,30.2,10.0
225,0.040722947,0.0,32.7,98.7,49.4,36.0,2.9,27.0,57.0,9.0,12.0,106.0,20.0,133.0,167.0,7.0,0.0,119.0,31.2,53.0
226,0.098250336,0.0,33.1,95.2,59.5,43.4,2.84,68.0,89.0,40.0,30.0,36.0,34.0,9.0,68.0,0.0,17.0,153.0,27.6,51.0
227,0.105263158,2.0,31.4,84.2,57.4,40.2,2.45,37.0,45.0,109.0,16.0,13.0,11.0,28.0,186.0,7.0,11.0,260.0,19.5,59.0
228,0.054383497,1.0,28.9,100.9,62.4,50.8,4.23,43.0,55.0,15.0,33.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,30.9,50.0
229,0.000507614,3.0,38.6,127.6,24.1,5.8,1.51,23.0,23.0,0.0,40.0,136.0,118.0,150.0,312.0,145.0,50.0,71.0,23.4,38.0
230,0.026995053,1.0,31.2,111.6,25.7,12.5,2.15,4.0,24.0,41.0,26.0,94.0,213.0,573.0,305.0,161.0,63.0,198.0,22.5,50.0
231,0.091492777,5.0,33.9,87.4,49.1,28.9,2.27,20.0,54.0,39.0,42.0,34.0,83.0,76.0,412.0,24.0,66.0,88.0,21.2,20.0
232,0.107458913,3.0,35.3,89.1,52.5,33.7,2.67,34.0,45.0,23.0,25.0,3.0,145.0,0.0,62.0,27.0,9.0,15.0,26.9,44.0
233,0.049632215999999986,0.0,35.1,99.8,40.7,27.3,2.79,26.0,33.0,0.0,18.0,67.0,84.0,51.0,171.0,61.0,19.0,61.0,32.1,8.0
234,0.118863762,1.0,35.2,98.0,49.3,30.3,2.75,24.0,51.0,0.0,35.0,0.0,216.0,31.0,138.0,57.0,13.0,53.0,37.6,22.0
